1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
156 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
157 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
157 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
157 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
157 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
158 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
158 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
158 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
159 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
159 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
160 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
160 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
160 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
160 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
161 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
162 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
162 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
162 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
163 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
163 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
163 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
164 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
164 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
164 Hint: ( innodb_buffer_pool_size , 0.8mem , ['low buffer ratio'] )  hint_id : 5 
165 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
166 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
166 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
166 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
167 Hint: ( innodb_log_buffer_size , 8mb , [] )  hint_id : 20 
167 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
5 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
7 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
9 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
11 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
12 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
13 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
14 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
15 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
15 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
15 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
16 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
17 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
18 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
19 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
19 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
20 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
20 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
20 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
21 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
21 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
21 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
22 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
22 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
24 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
24 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
26 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
26 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
27 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
28 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
28 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
29 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
30 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
30 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
30 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
30 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
31 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
31 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
31 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
32 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
34 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
34 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
34 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
35 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
35 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
35 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
36 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
36 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
37 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
37 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
38 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
38 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
39 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
39 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
39 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
39 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
39 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
39 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
39 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
40 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
40 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
40 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
40 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
40 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
41 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
41 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
41 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
41 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
42 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
42 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
43 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
43 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
43 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
44 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
44 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
45 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
45 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
45 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
45 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
45 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
46 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
46 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
46 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
47 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
48 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
48 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
49 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
49 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
50 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
50 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
51 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
51 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
51 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
52 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
52 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
52 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
52 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
52 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
53 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
53 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
54 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
54 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
54 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
54 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
55 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
55 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
56 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
56 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
57 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
57 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
58 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
58 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
59 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
59 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
59 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
59 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
59 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
60 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
60 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
60 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
61 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
61 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
61 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
61 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
62 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
62 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
62 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
62 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
62 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
63 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
63 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
63 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
63 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
63 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
64 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
64 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
64 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
64 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
65 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
65 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
66 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
66 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
67 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
67 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
67 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
67 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
68 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
69 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
69 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
70 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
70 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
71 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
71 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
71 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
72 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
72 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
73 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
73 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
73 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
74 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
74 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
74 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
75 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
75 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
75 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
76 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
76 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
76 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
76 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
77 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
77 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
77 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
77 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
78 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
78 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
79 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
79 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
79 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
79 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
80 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
80 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
81 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
83 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
83 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
84 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
85 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
85 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
85 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
86 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
86 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
87 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
87 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
89 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
89 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
89 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
89 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
90 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
90 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
90 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
91 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
92 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
92 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
93 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
93 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
93 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
94 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
94 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
94 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
95 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
95 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
95 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
96 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
97 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
97 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
98 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
98 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
98 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
98 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
99 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
99 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
99 Hint: ( innodb_thread_concurrency , increase , ['write heavy'] )  hint_id : 43 
100 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
100 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
101 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
101 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
101 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
101 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
102 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
102 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
102 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
102 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
102 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
102 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
103 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
103 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
103 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
103 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
104 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
104 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
104 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
104 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
104 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
105 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
105 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
105 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
106 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
106 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
107 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
107 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
107 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
107 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
107 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
107 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
108 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
108 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
108 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
109 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
109 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
109 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
109 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
109 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
110 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
110 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
110 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
111 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
111 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
111 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
111 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
111 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
112 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
112 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
112 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
112 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
112 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
113 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
113 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
114 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
114 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
114 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
114 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
114 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
114 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
115 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
115 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
115 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
115 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
116 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
116 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
116 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
116 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
117 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
117 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
118 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
118 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
119 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
119 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
120 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
121 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
122 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
122 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
122 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
123 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
126 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
126 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
126 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
127 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
128 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
129 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
129 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
129 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
130 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
130 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
131 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
131 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
132 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
132 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
133 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
134 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
135 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
136 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
137 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
138 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
138 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
138 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
138 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
139 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
139 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
139 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
140 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
140 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
141 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
141 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
141 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
141 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
142 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
142 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
142 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
142 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
143 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
143 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
143 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
143 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
144 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
144 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
144 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
144 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
145 Hint: ( innodb_log_buffer_size , increase , ['write heavy'] )  hint_id : 23 
145 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
145 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
145 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
146 Hint: ( innodb_log_buffer_size , 256mb , [] )  hint_id : 21 
146 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
146 Hint: ( max_heap_table_size , 64mb , [] )  hint_id : 49 
146 Hint: ( max_heap_table_size , 32mb , [] )  hint_id : 51 
